"feature_id"	"type"	"function."	"evidence_codes"
"fig|1578.150.peg.1416"	"peg"	"LrgA-associated membrane protein LrgB"	"isu;Murein_hydrolase_regulation_and_cell_death"
"fig|1578.150.peg.1417"	"peg"	"Antiholin-like protein LrgA"	"icw(3);Murein_hydrolase_regulation_and_cell_death"
"fig|1578.150.peg.1418"	"peg"	"Autolysis response regulater LytR"	"icw(4);Murein_hydrolase_regulation_and_cell_death"
"fig|1578.150.peg.1419"	"peg"	"Autolysis histidine kinase LytS"	"icw(2);Murein_hydrolase_regulation_and_cell_death"
"fig|1578.150.peg.1420"	"peg"	"Autolysis histidine kinase LytS"	"icw(2);Murein_hydrolase_regulation_and_cell_death"
"fig|1578.150.peg.1421"	"peg"	"PTS system, fructose-specific IIA component (EC 2.7.1.69) / PTS system, fructose-specific IIB component (EC 2.7.1.69) / PTS system, fructose-specific IIC component (EC 2.7.1.69)"	"idu(1);Fructose_utilization icw(1);Fructose_utilization icw(2);Fructose_utilization"
"fig|1578.150.peg.1422"	"peg"	"1-phosphofructokinase (EC 2.7.1.56)"	"icw(2);Fructose_utilization"
"fig|1578.150.peg.1423"	"peg"	"Transcriptional repressor of the fructose operon, DeoR family"	"icw(1);Fructose_utilization"
"fig|1578.150.peg.1424"	"peg"	"drug resistance transporter, EmrB/QacA family"	"ff"
"fig|1578.150.peg.1425"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1426"	"peg"	"Integral membrane protein"	"ff"
"fig|1578.150.peg.1427"	"peg"	"Beta-glucoside bgl operon antiterminator, BglG family"	"icw(1);Beta-Glucoside_Metabolism"
"fig|1578.150.peg.1428"	"peg"	"PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component / PTS system, beta-glucoside-specific IIA component"	"idu(3);Beta-Glucoside_Metabolism"
"fig|1578.150.peg.1429"	"peg"	"Esterase/lipase"	""
"fig|1578.150.peg.1430"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(2);Succinate_dehydrogenase"
"fig|1578.150.peg.1431"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(2);Succinate_dehydrogenase"
"fig|1578.150.peg.1432"	"peg"	"Nitrate/nitrite transporter"	"isu;Nitrate_and_nitrite_ammonification"
"fig|1578.150.peg.1433"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(3);Succinate_dehydrogenase"
"fig|1578.150.peg.1434"	"peg"	"Transcriptional regulator, LysR family"	""
"fig|1578.150.peg.1435"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(1);Succinate_dehydrogenase"
"fig|1578.150.peg.1436"	"peg"	"L-asparaginase (EC 3.5.1.1)"	"isu;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"
"fig|1578.150.peg.1437"	"peg"	"4-carboxymuconolactone decarboxylase (EC 4.1.1.44)"	"idu(1);Protocatechuate_branch_of_beta-ketoadipate_pathway idu(1);Pyrene_degradation"
"fig|1578.150.peg.1438"	"peg"	"Transcriptional regulator"	""
"fig|1578.150.peg.1439"	"peg"	"Transcriptional regulator, MerR family"	"idu(1);Cobalt-zinc-cadmium_resistance"
"fig|1578.150.peg.1440"	"peg"	"Phosphoglycerate mutase (EC 5.4.2.1)"	"idu(2);Entner-Doudoroff_Pathway idu(2);Phosphoglycerate_mutase_protein_family idu(2);Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes idu(2);Glycolysis_and_Gluconeogenesis"
"fig|1578.150.peg.1441"	"peg"	"DNA polymerase (EC 2.7.7.7)"	""
"fig|1578.150.peg.1442"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1443"	"peg"	"oxidoreductase"	"ff"
"fig|1578.150.peg.1444"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1445"	"peg"	"FIG00743340: hypothetical protein"	"ff"
"fig|1578.150.peg.1446"	"peg"	"Internalin B (GW modules)"	"ff"
"fig|1578.150.peg.1447"	"peg"	"N-acetylmuramidase( EC:3.5.1.28 )"	"ff"
"fig|1578.150.peg.1448"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1449"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1450"	"peg"	"Lysin"	""
"fig|1578.150.peg.1451"	"peg"	"Internalin B (GW modules)"	""
"fig|1578.150.peg.1452"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1453"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1454"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1455"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1456"	"peg"	"Kup system potassium uptake protein"	"isu;Potassium_homeostasis"
"fig|1578.150.peg.1457"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1458"	"peg"	"Mobile element protein"	"ff"
"fig|1578.150.peg.1459"	"peg"	"endopeptidase O"	"ff"
"fig|1578.150.peg.1460"	"peg"	"Major facilitator superfamily permease"	"ff"
"fig|1578.150.peg.1461"	"peg"	"N-acetylmuramidase (EC 3.5.1.28)"	""
"fig|1578.150.peg.1462"	"peg"	"Transcriptional regulator, IclR family"	"isu;Homogentisate_pathway_of_aromatic_compound_degradation"
"fig|1578.150.peg.1463"	"peg"	"D-lactate dehydrogenase (EC 1.1.1.28)"	"idu(2);Fermentations:_Lactate idu(2);Fermentations:_Mixed_acid"
"fig|1578.150.peg.1464"	"peg"	"Membrane protein"	""
"fig|1578.150.peg.1465"	"peg"	"D-aspartate ligase (EC 6.3.1.12)"	"ff"
"fig|1578.150.peg.1466"	"peg"	"Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)"	"isu;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis isu;Glutamate_and_Aspartate_uptake_in_Bacteria"
"fig|1578.150.peg.1467"	"peg"	"FIG00744368: hypothetical protein"	"ff"
"fig|1578.150.peg.1468"	"peg"	"FIG00744233: hypothetical protein"	"ff"
"fig|1578.150.peg.1469"	"peg"	"DNA-3-methyladenine glycosylase (EC 3.2.2.20)"	"isu;DNA_Repair_Base_Excision"
"fig|1578.150.peg.1470"	"peg"	"Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)"	"icw(2);ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)"
"fig|1578.150.peg.1471"	"peg"	"Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)"	"isu;ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)"
"fig|1578.150.peg.1472"	"peg"	"Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)"	"icw(1);ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)"
"fig|1578.150.peg.1473"	"peg"	"Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)"	"icw(4);ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)"
"fig|1578.150.peg.1474"	"peg"	"Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)"	"icw(4);ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)"
"fig|1578.150.peg.1475"	"peg"	"Universal stress protein family"	"ff"
"fig|1578.150.peg.1476"	"peg"	"Protein tyrosine/serine phosphatase"	"ff"
"fig|1578.150.peg.1477"	"peg"	"Purine trans deoxyribosylase (Nucleoside deoxyribosyltransferase-I) (EC 2.4.2.6)"	"isu;Purine_conversions"
"fig|1578.150.peg.1478"	"peg"	"Mobile element protein"	"ff"
"fig|1578.150.peg.1479"	"peg"	"Mobile element protein"	""
"fig|1578.150.peg.1480"	"peg"	"N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)"	"isu;Chitin_and_N-acetylglucosamine_utilization isu;Sialic_Acid_Metabolism"
"fig|1578.150.peg.1481"	"peg"	"Maltodextrin glucosidase (EC 3.2.1.20)"	"ff"
"fig|1578.150.peg.1482"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1483"	"peg"	"FIG00748929: hypothetical protein"	"ff"
"fig|1578.150.peg.1484"	"peg"	"Efflux pump Lde"	"isu;Resistance_to_fluoroquinolones"
"fig|1578.150.peg.1485"	"peg"	"FIG00742251: hypothetical protein"	"ff"
"fig|1578.150.peg.1486"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1487"	"peg"	"Mobile element protein"	"ff"
"fig|1578.150.peg.1488"	"peg"	"Transport ATP-binding protein CydD"	"isu;Terminal_cytochrome_d_ubiquinol_oxidases isu;Terminal_cytochrome_oxidases"
"fig|1578.150.peg.1489"	"peg"	"ABC transporter ATP-binding protein"	""
"fig|1578.150.peg.1490"	"peg"	"6-phospho-beta-glucosidase (EC 3.2.1.86)"	"icw(1);Beta-Glucoside_Metabolism"
"fig|1578.150.peg.1491"	"peg"	"PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component / PTS system, beta-glucoside-specific IIA component"	"idu(3);Beta-Glucoside_Metabolism"
"fig|1578.150.peg.1492"	"peg"	"Beta-glucoside bgl operon antiterminator, BglG family"	"icw(2);Beta-Glucoside_Metabolism"
"fig|1578.150.peg.1493"	"peg"	"Sortase A, LPXTG specific"	"isu;Heme,_hemin_uptake_and_utilization_systems_in_GramPositives isu;Sortase"
"fig|1578.150.peg.1494"	"peg"	"putative membrane associated lipoprotein"	""
"fig|1578.150.peg.1495"	"peg"	"Protein tyrosine/serine phosphatase"	"ff"
"fig|1578.150.peg.1496"	"peg"	"Glycerol kinase (EC 2.7.1.30)"	"isu;Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria"
"fig|1578.150.peg.1497"	"peg"	"Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)"	"ff"
"fig|1578.150.peg.1498"	"peg"	"Putative amidotransferase similar to cobyric acid synthase"	"ff"
"fig|1578.150.peg.1499"	"peg"	"Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety"	"ff"
"fig|1578.150.peg.1500"	"peg"	"Hydroxyethylthiazole kinase (EC 2.7.1.50)"	"icw(1);Thiamin_biosynthesis"
"fig|1578.150.peg.1501"	"peg"	"Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)"	"ff"
"fig|1578.150.peg.1502"	"peg"	"Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)"	"isu;Thiamin_biosynthesis"
"fig|1578.150.peg.1503"	"peg"	"membrane protein"	""
"fig|1578.150.peg.1504"	"peg"	"Response regulator of the LytR/AlgR family"	"ff"
"fig|1578.150.peg.1505"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1506"	"peg"	"major facilitator superfamily permease"	"ff"
"fig|1578.150.peg.1507"	"peg"	"Adenylosuccinate lyase (EC 4.3.2.2)"	"icw(2);Purine_conversions isu;De_Novo_Purine_Biosynthesis"
"fig|1578.150.peg.1508"	"peg"	"Adenylosuccinate synthetase (EC 6.3.4.4)"	"isu;Purine_conversions isu;SA:14-24 isu;CBSS-262719.3.peg.410"
"fig|1578.150.peg.1509"	"peg"	"GMP reductase (EC 1.7.1.7)"	"icw(1);Purine_conversions"
"fig|1578.150.peg.1510"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1511"	"peg"	"Esterase/lipase"	"ff"
"fig|1578.150.peg.1512"	"peg"	"Transcriptional regulator, AraC family"	""
"fig|1578.150.peg.1513"	"peg"	"FIG00748805: hypothetical protein"	"ff"
"fig|1578.150.peg.1514"	"peg"	"contains amino acid permease domain"	"ff"
"fig|1578.150.peg.1515"	"peg"	"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"	"isu;Folate_Biosynthesis"
"fig|1578.150.peg.1516"	"peg"	"ABC transporter ATP-binding protein"	""
"fig|1578.150.peg.1517"	"peg"	"Uncharacterized protein conserved in bacteria"	"ff"
"fig|1578.150.peg.1518"	"peg"	"cytidine/deoxycytidylate deaminase family protein, putative"	"ff"
"fig|1578.150.peg.1519"	"peg"	"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)"	"idu(1);CBSS-246196.1.peg.364"
"fig|1578.150.peg.1520"	"peg"	"oxidoreductase (putative)"	""
"fig|1578.150.peg.1521"	"peg"	"Alcohol dehydrogenase (EC 1.1.1.1)"	"isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria isu;Fermentations:_Mixed_acid"
"fig|1578.150.peg.1522"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1523"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1524"	"peg"	"Aspartate aminotransferase (EC 2.6.1.1)"	"isu;Coenzyme_M_biosynthesis_--_gjo isu;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis isu;Threonine_and_Homoserine_Biosynthesis"
"fig|1578.150.peg.1525"	"peg"	"FIG00747470: hypothetical protein"	"ff"
"fig|1578.150.peg.1526"	"peg"	"Beta-glucoside bgl operon antiterminator, BglG family"	"idu(3);Beta-Glucoside_Metabolism"
"fig|1578.150.peg.1527"	"peg"	"PTS system, mannose-specific IIA component (EC 2.7.1.69)"	"icw(1);Mannose_Metabolism icw(1);Sialic_Acid_Metabolism"
"fig|1578.150.peg.1528"	"peg"	"PTS system, mannose-specific IID component"	"ff"
"fig|1578.150.peg.1529"	"peg"	"probable PTS system"	""
"fig|1578.150.peg.1530"	"peg"	"PTS system, mannose-specific IIB component (EC 2.7.1.69)"	"idu(4);Mannose_Metabolism idu(4);Sialic_Acid_Metabolism"
"fig|1578.150.peg.1531"	"peg"	"Esterase/lipase"	""
"fig|1578.150.peg.1532"	"peg"	"Tagatose-6-phosphate kinase (EC 2.7.1.144) / 1-phosphofructokinase (EC 2.7.1.56)"	"idu(2);Fructose_utilization icw(1);D-Tagatose_and_Galactitol_Utilization"
"fig|1578.150.peg.1533"	"peg"	"Lactose phosphotransferase system repressor"	"ff"
"fig|1578.150.peg.1534"	"peg"	"PTS system, galactitol-specific IIA component (EC 2.7.1.69)"	"icw(2);D-Tagatose_and_Galactitol_Utilization"
"fig|1578.150.peg.1535"	"peg"	"FIG00752773: hypothetical protein"	"ff"
"fig|1578.150.peg.1536"	"peg"	"PTS system, galactitol-specific IIC component (EC 2.7.1.69)"	"idu(1);D-Tagatose_and_Galactitol_Utilization"
"fig|1578.150.peg.1537"	"peg"	"class II aldolase/adducin domain protein"	"ff"
"fig|1578.150.peg.1538"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1539"	"peg"	"ABC transporter ATPase and permease components"	"ff"
"fig|1578.150.peg.1540"	"peg"	"Transcriptional regulator, PadR family"	"idu(1);CBSS-1352.1.peg.856"
"fig|1578.150.peg.1541"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1542"	"peg"	"Branched-chain amino acid aminotransferase (EC 2.6.1.42)"	"isu;Pyruvate_Alanine_Serine_Interconversions isu;Isoleucine_degradation isu;Alanine_biosynthesis isu;Leucine_Degradation_and_HMG-CoA_Metabolism isu;Valine_degradation isu;Leucine_Biosynthesis"
"fig|1578.150.peg.1543"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1544"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1545"	"peg"	"putative resolvase"	"ff"
"fig|1578.150.peg.1546"	"peg"	"MFS general substrate transporter"	""
"fig|1578.150.peg.1547"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1548"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1549"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1550"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1551"	"peg"	"pyridoxal-dependent decarboxylase, Orn/Lys/Arg family"	""
"fig|1578.150.peg.1552"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1553"	"peg"	"Type 1 DNA topoisomerase"	""
"fig|1578.150.peg.1554"	"peg"	"ATP-dependent Clp protease ATP-binding subunit ClpA"	"idu(2);Proteolysis_in_bacteria,_ATP-dependent idu(2);Ribosome_recycling_related_cluster"
"fig|1578.150.peg.1555"	"peg"	"Excinuclease ABC subunit A paralog of unknown function"	"isu;DNA_repair,_UvrABC_system"
"fig|1578.150.peg.1556"	"peg"	"cell surface hydrolase (putative)"	"ff"
"fig|1578.150.peg.1557"	"peg"	"PTS system, cellobiose-specific IIC component"	"ff"
"fig|1578.150.peg.1558"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1559"	"peg"	"Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)"	"isu;D-ribose_utilization"
"fig|1578.150.peg.1560"	"peg"	"Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)"	"icw(2);D-ribose_utilization"
"fig|1578.150.peg.1561"	"peg"	"Ribokinase (EC 2.7.1.15)"	"icw(1);D-ribose_utilization idu(1);Deoxyribose_and_Deoxynucleoside_Catabolism"
"fig|1578.150.peg.1562"	"peg"	"Mobile element protein"	"ff"
"fig|1578.150.peg.1563"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1564"	"peg"	"Carbamate kinase (EC 2.7.2.2)"	"icw(1);Arginine_and_Ornithine_Degradation icw(1);Arginine_Deiminase_Pathway icw(1);Polyamine_Metabolism"
"fig|1578.150.peg.1565"	"peg"	"Arginine/ornithine antiporter ArcD"	"isu;Arginine_and_Ornithine_Degradation isu;Arginine_Deiminase_Pathway isu;Polyamine_Metabolism"
"fig|1578.150.peg.1566"	"peg"	"Ornithine carbamoyltransferase (EC 2.1.3.3)"	"icw(2);Arginine_and_Ornithine_Degradation icw(2);Arginine_Deiminase_Pathway isu;Arginine_Biosynthesis_--_gjo isu;Arginine_Biosynthesis_extended"
"fig|1578.150.peg.1567"	"peg"	"Arginine deiminase (EC 3.5.3.6)"	"icw(3);Arginine_and_Ornithine_Degradation icw(3);Arginine_Deiminase_Pathway"
"fig|1578.150.peg.1568"	"peg"	"Integral membrane protein"	""
"fig|1578.150.peg.1569"	"peg"	"Penicillin-binding protein"	"ff"
"fig|1578.150.peg.1570"	"peg"	"Poly(glycerophosphate chain) D-alanine transfer protein DltD"	"isu;D-Alanyl_Lipoteichoic_Acid_Biosynthesis isu;Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.150.peg.1571"	"peg"	"D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)"	"icw(3);D-Alanyl_Lipoteichoic_Acid_Biosynthesis icw(1);Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.150.peg.1572"	"peg"	"D-alanyl transfer protein DltB"	"icw(1);D-Alanyl_Lipoteichoic_Acid_Biosynthesis icw(2);Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.150.peg.1573"	"peg"	"D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)"	"icw(2);D-Alanyl_Lipoteichoic_Acid_Biosynthesis icw(3);Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.150.peg.1574"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1575"	"peg"	"CBS domain protein"	"ff"
"fig|1578.150.peg.1576"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1577"	"peg"	"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	"idu(1);Copper_Transport_System idu(1);Copper_homeostasis"
"fig|1578.150.peg.1578"	"peg"	"Membrane-bound protease, CAAX family"	""
"fig|1578.150.peg.1579"	"peg"	"FIG00742880: hypothetical protein"	"ff"
"fig|1578.150.peg.1580"	"peg"	"ABC transporter permease component"	"ff"
"fig|1578.150.peg.1581"	"peg"	"Glucosamine-6-phosphate deaminase (EC 3.5.99.6)"	"isu;Chitin_and_N-acetylglucosamine_utilization isu;Sialic_Acid_Metabolism"
"fig|1578.150.peg.1582"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1583"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1584"	"peg"	"General stress protein, Gls24 family"	"ff"
"fig|1578.150.peg.1585"	"peg"	"Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113)"	"icw(1);Purine_conversions icw(1);Purine_conversions"
"fig|1578.150.peg.1586"	"peg"	"Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113)"	"icw(1);Purine_conversions icw(1);Purine_conversions"
"fig|1578.150.peg.1587"	"peg"	"ABC transporter membrane-spanning permease - glutamine transport"	"ff"
"fig|1578.150.peg.1588"	"peg"	"amino acid ABC transporter, ATP-binding protein"	""
"fig|1578.150.peg.1589"	"peg"	"amino acid ABC transporter, amino acid-binding protein"	"ff"
"fig|1578.150.peg.1590"	"peg"	"Xanthine/uracil/thiamine/ascorbate permease family protein"	"icw(1);Purine_Utilization"
"fig|1578.150.peg.1591"	"peg"	"2-oxoglutarate-malate translocator"	"ff"
"fig|1578.150.peg.1592"	"peg"	"Xanthine/uracil/thiamine/ascorbate permease family protein"	"icw(1);Purine_Utilization"
"fig|1578.150.peg.1593"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1594"	"peg"	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	"isu;Pentose_phosphate_pathway isu;D-gluconate_and_ketogluconates_metabolism"
"fig|1578.150.peg.1595"	"peg"	"Pyruvate oxidase (EC 1.2.3.3)"	"isu;Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate"
"fig|1578.150.peg.1596"	"peg"	"tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA"	"icw(1);RNA_modification_and_chromosome_partitioning_cluster icw(1);Cell_Division_Subsystem_including_YidCD"
"fig|1578.150.peg.1597"	"peg"	"GTPase and tRNA-U34 5-formylation enzyme TrmE"	"isu;Universal_GTPases isu;RNA_modification_and_chromosome_partitioning_cluster icw(1);RNA_modification_cluster icw(2);Cell_Division_Subsystem_including_YidCD"
"fig|1578.150.peg.1598"	"peg"	"Inner membrane protein translocase component YidC, short form OxaI-like"	"icw(3);RNA_modification_cluster icw(4);Cell_Division_Subsystem_including_YidCD"
"fig|1578.150.peg.1599"	"peg"	"Ribonuclease P protein component (EC 3.1.26.5)"	"isu;tRNA_processing isu;RNA_modification_cluster isu;Cell_Division_Subsystem_including_YidCD"
"fig|1578.150.peg.1600"	"peg"	"LSU ribosomal protein L34p"	"isu;Ribosome_LSU_bacterial icw(2);RNA_modification_cluster icw(3);Cell_Division_Subsystem_including_YidCD"
"fig|1578.150.peg.1601"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1602"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1603"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1604"	"peg"	"hypothetical protein"	""
"fig|1578.150.peg.1605"	"peg"	"Positive transcriptional regulator, MutR family"	""
"fig|1578.150.peg.1606"	"peg"	"HesA/MoeB/ThiF family protein related to EC-YgdL"	""
"fig|1578.150.peg.1607"	"peg"	"ABC transporter ATP-binding/membrane spanning protein - multidrug resistance"	""
"fig|1578.150.peg.1608"	"peg"	"hypothetical protein"	""
"fig|1578.150.rna.57"	"rna"	"5S RNA"	""
"fig|1578.150.rna.58"	"rna"	"Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA"	""
"fig|1578.150.rna.59"	"rna"	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	""
"fig|1578.150.peg.1610"	"peg"	"extracellular protein"	""
"fig|1578.150.peg.1611"	"peg"	"Mobile element protein"	"ff"
"fig|1578.150.peg.1612"	"peg"	"Transposase, IS30 family"	""
"fig|1578.150.peg.1613"	"peg"	"Mobile element protein"	"ff"
"fig|1578.150.peg.1614"	"peg"	"D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)"	"isu;Serine_Biosynthesis"
"fig|1578.151.peg.1"	"peg"	"Chromosomal replication initiator protein DnaA"	"isu;DNA-replication icw(3);DNA_replication_cluster_1 icw(1);Cell_Division_Subsystem_including_YidCD"
"fig|1578.151.peg.2"	"peg"	"DNA polymerase III beta subunit (EC 2.7.7.7)"	"icw(1);DNA-replication icw(2);DNA_replication_cluster_1 icw(3);Cell_Division_Subsystem_including_YidCD"
"fig|1578.151.peg.3"	"peg"	"FIG002958: hypothetical protein"	"icw(2);DNA_replication_cluster_1 isu;Hypothetical_Coupled_to_RecF"
"fig|1578.151.peg.4"	"peg"	"DNA recombination and repair protein RecF"	"isu;DNA_repair,_bacterial_RecFOR_pathway icw(5);DNA_replication_cluster_1 icw(3);Cell_Division_Subsystem_including_YidCD icw(1);Hypothetical_Coupled_to_RecF"
"fig|1578.151.peg.5"	"peg"	"DNA gyrase subunit B (EC 5.99.1.3)"	"isu;DNA_gyrase_subunits isu;DNA_topoisomerases,_Type_II,_ATP-dependent isu;DNA_replication_cluster_1 isu;Cell_Division_Subsystem_including_YidCD isu;Resistance_to_fluoroquinolones"
"fig|1578.151.peg.6"	"peg"	"DNA gyrase subunit A (EC 5.99.1.3)"	"icw(1);DNA_gyrase_subunits icw(1);DNA_topoisomerases,_Type_II,_ATP-dependent icw(1);DNA_replication_cluster_1 icw(1);Cell_Division_Subsystem_including_YidCD icw(1);Resistance_to_fluoroquinolones"
"fig|1578.151.peg.7"	"peg"	"SSU ribosomal protein S6p"	"isu;Ribosome_SSU_bacterial"
"fig|1578.151.peg.8"	"peg"	"Single-stranded DNA-binding protein"	"idu(1);DNA_repair,_bacterial_RecFOR_pathway idu(1);DNA_repair,_bacterial idu(1);pVir_Plasmid_of_Campylobacter"
"fig|1578.151.peg.9"	"peg"	"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"	"isu;Staphylococcal_pathogenicity_islands_SaPI icw(1);Ribosome_SSU_bacterial icw(1);Ribosome_SSU_bacterial"
"fig|1578.151.peg.10"	"peg"	"Phosphoesterase, DHH family protein"	"icw(1);SA:14-24 icw(1);CBSS-262719.3.peg.410"
"fig|1578.151.peg.11"	"peg"	"LSU ribosomal protein L9p"	"isu;Ribosome_LSU_bacterial isu;SA:14-24 isu;CBSS-262719.3.peg.410"
"fig|1578.151.peg.12"	"peg"	"Replicative DNA helicase (EC 3.6.1.-) [SA14-24]"	"isu;DNA-replication icw(2);SA:14-24 icw(2);CBSS-262719.3.peg.410"
"fig|1578.151.peg.13"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.14"	"peg"	"FIG00743526: hypothetical protein"	"ff"
"fig|1578.151.peg.15"	"peg"	"Peptide transport system permease protein sapB (TC 3.A.1.5.5)"	"ff"
"fig|1578.151.rna.1"	"rna"	"tRNA-Thr-AGT"	""
"fig|1578.151.peg.16"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.17"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.18"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.19"	"peg"	"FtsK/SpoIIIE family protein"	""
"fig|1578.151.peg.20"	"peg"	"FIG00746332: hypothetical protein"	"ff"
"fig|1578.151.peg.21"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.22"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.23"	"peg"	"integrase"	"ff"
"fig|1578.151.peg.24"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.25"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.26"	"peg"	"hypothetical protein"	""
"fig|1578.151.peg.27"	"peg"	"ABC transporter, ATP-binding protein"	""
"fig|1578.151.peg.28"	"peg"	"ABC transporter, permease protein"	"ff"
"fig|1578.151.peg.29"	"peg"	"ABC-type uncharacterized transport system, permease component"	"ff"
